categoria_id,nombre,descripcion
1,Ficcion contemporanea,Narrativas actuales que reflejan problematicas y estilos de vida contemporaneos.
2,Ciencia y tecnologia,"Libros sobre avances cientificos, innovacion y divulgacion tecnologica."
3,Historia y sociedad,"Analisis historicos, biograficos y estudios sobre la evolucion social."
4,Autoayuda y bienestar,"Obras orientadas al desarrollo personal, motivacion y crecimiento emocional."
5,Infantil y juvenil,"Cuentos, novelas y material educativo para ninos y adolescentes."
6,Arte y diseno,"Obras sobre arte, estetica y creatividad."
7,Negocios y economia,"Temas empresariales, liderazgo y analisis de mercado."
8,Ciencia ficcion y fantasia,Historias imaginativas ambientadas en mundos futuros o alternativos.
9,Romance,Narraciones centradas en relaciones amorosas y vinculos afectivos.
10,Misterio y suspenso,"Tramas intrigantes con elementos de crimen, investigacion y tension narrativa."
